Index, F1Validation, F1Test, PrecisionTest, RecallTest, Features, Classifier, Params
70, 0.3912515328472835, nan, 0.0, 0.0, EuclidianDist., SVM Polyn., {$\gamma=5, \text{deg}=2$}
69, 0.379272141109628, 0.0329531026651123, 0.0296465, 0.0370899, EuclidianDist., SVM Polyn., {$\gamma=1, \text{deg}=2$}
76, 0.22277241089108912, 0.1736747753087467, 0.24173, 0.135521, EuclidianDist., RF, {$\text{\#trees}=20, \text{maxDepth}=10$}
132, 0.1352656944619098, 0.031746007111106735, 0.021645, 0.0595238, TimeDiff_XY, SVM Polyn., {$\gamma=2, \text{deg}=10$}
80, 0.12423620402145968, 0.06141880965015378, 0.0324424, 0.574893, CenterDist., SVM Lin., --
