Index, F1Validation, F1Test, PrecisionTest, RecallTest, Features, Classifier, Params
0, 0.37040400770268067, 0.4314262254221419, 0.31728, 0.673856, XY, SVM Lin., --
35, 0.35801902371995975, 0.5139621962752571, 0.674814, 0.415033, Interpolation, RF, {$\text{\#trees}=10, \text{maxDepth}=4$}
39, 0.34714568958722586, 0.38905010280875996, 0.751873, 0.262418, Interpolation, RF, {$\text{\#trees}=50, \text{maxDepth}=20$}
36, 0.3361040373618824, 0.5359585592268209, 0.732578, 0.422549, Interpolation, RF, {$\text{\#trees}=20, \text{maxDepth}=10$}
76, 0.24833508077167163, 0.4255923724983655, 0.774138, 0.293464, EuclidianDist., RF, {$\text{\#trees}=20, \text{maxDepth}=10$}
