Index, F1Validation, F1Test, PrecisionTest, RecallTest, Features, Classifier, Params
97, 0.6564614974805922, 0.5753163989360824, 0.598382, 0.553963, CenterDist., RF, {$\text{\#trees}=20, \text{maxDepth}=20$}
99, 0.6562500784763119, 0.5936164245186002, 0.638526, 0.554609, CenterDist., RF, {$\text{\#trees}=50, \text{maxDepth}=20$}
96, 0.6469597149342112, 0.65514108434474, 0.809226, 0.550349, CenterDist., RF, {$\text{\#trees}=20, \text{maxDepth}=10$}
38, 0.6232271748593834, 0.6161284023649034, 0.966345, 0.452233, Interpolation, RF, {$\text{\#trees}=50, \text{maxDepth}=10$}
17, 0.5847536747144507, 0.7321757983896339, 0.75211, 0.713271, XY, RF, {$\text{\#trees}=20, \text{maxDepth}=20$}
