Index, F1Validation, F1Test, PrecisionTest, RecallTest, Features, Classifier, Params
94, 0.19145813951900617, 0.030291335383901104, 0.1625, 0.0167024, CenterDist., SVM Polyn., {$\gamma=0.3, \text{deg}=10$}
77, 0.16161667313258424, nan, 0.0, 0.0, EuclidianDist., RF, {$\text{\#trees}=20, \text{maxDepth}=20$}
72, 0.10398861284610178, 0.1526479140451363, 0.119951, 0.20985, EuclidianDist., SVM Polyn., {$\gamma=2, \text{deg}=10$}
73, 0.06789978559406837, 0.16494214173946822, 0.0919219, 0.802141, EuclidianDist., SVM Polyn., {$\gamma=5, \text{deg}=10$}
65, 0.050742337595431244, 0.12601255884370027, 0.0705925, 0.586296, EuclidianDist., SVM Sigmoid, {$\gamma=1$}
