Index	F1Validation	F1Test	PrecisionTest	RecallTest
10 0.2769337740552781 0.1801118749787656 0.101997 0.769231
9 0.2697562314162276 0.2276587378210304 0.132646 0.802429
19 0.16416027152466683 0.4721795597129795 0.380575 0.621862
20 0.16337165241689566 0.42886591466944574 0.590071 0.336842
16 0.1496597995567541 0.37667147611540913 0.281262 0.57004
