Index, F1Validation, F1Test, PrecisionTest, RecallTest, Features, Classifier, Params
76, 0.162988078190513, 0.1995132867740814, 0.658875, 0.117555, EuclidianDist., RF, {$\text{\#trees}=20, \text{maxDepth}=10$}
37, 0.13287509835264055, 0.0023431316471657733, 1.0, 0.00117294, Interpolation, RF, {$\text{\#trees}=20, \text{maxDepth}=20$}
71, 0.11312805748497619, 0.4368351431596169, 0.360734, 0.55363, EuclidianDist., SVM Polyn., {$\gamma=1, \text{deg}=10$}
9, 0.10294117950904226, 0.2426720118000816, 0.33775, 0.189365, XY, SVM Polyn., {$\gamma=1, \text{deg}=2$}
72, 0.09884624539756386, 0.35732973517425104, 0.249025, 0.632347, EuclidianDist., SVM Polyn., {$\gamma=2, \text{deg}=10$}
